Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1998,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,443000000.0,,
1998,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,10532081863.673,,
1998,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,HUF,Forint,0.0,Units,,,67400000000.0,,
1998,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,ISK,Iceland Krona,0.0,Units,,,11134000000.0,,
1998,India,,,,,,,,,,,,,,,
1998,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,6258000000.0,,
1998,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,JPY,Yen,0.0,Units,,,8837295000000.0,,
1998,Korea,,,,,,,,,,,,,,,
1998,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,96000000.0,,
1998,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,1350000000.0,,
1998,New Zealand,NZL,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,NZD,New Zealand Dollar,0.0,Units,,,368885059.0,,
1998,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,NOK,Norwegian Krone,0.0,Units,,,8031000000.0,,
1998,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,PLN,Zloty,0.0,Units,,,1171000000.0,,
1998,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,905000000.0,,
1998,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,300000000.0,,
1998,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,263000000.0,,
1998,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,SEK,Swedish Krona,0.0,Units,,,9328000000.0,,
1998,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,CHF,Swiss Franc,0.0,Units,,,3727000000.0,,
1998,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,TRY,Turkish Lira,0.0,Units,,,299000000.0,,
1998,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,GBP,Pound Sterling,0.0,Units,,,3235000000.0,,
1998,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,USD,US Dollar,0.0,Units,,,46100000000.0,,
1999,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,161000000.0,,
1999,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,CAD,Canadian Dollar,0.0,Units,,,5084000000.0,,
1999,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,HRK,Croatian Kuna,0.0,Units,,,2577000000.0,,
1999,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,CZK,Czech Koruna,0.0,Units,,,11886000000.0,,
1999,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,DKK,Danish Krone,0.0,Units,,,3119000000.0,,
1999,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,458000000.0,,
1999,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,10275291050.547,,
1999,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,HUF,Forint,0.0,Units,,,52700000000.0,,
1999,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,ISK,Iceland Krona,0.0,Units,,,8470000000.0,,
1999,India,,,,,,,,,,,,,,,
1999,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,6365000000.0,,
1999,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,JPY,Yen,0.0,Units,,,8470470000000.0,,
1999,Korea,,,,,,,,,,,,,,,
1999,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,130000000.0,,
1999,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,1500000000.0,,
1999,New Zealand,NZL,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,NZD,New Zealand Dollar,0.0,Units,,,371833197.0,,
1999,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,1999.0,NOK,Norwegian Krone,0.0,Units,,,8327000000.0,,
