"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","1995","1995","PER","Persons","0","Units",,,10632,"B","Break"
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","1996","1996","PER","Persons","0","Units",,,9703,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","1997","1997","PER","Persons","0","Units",,,9395,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","1998","1998","PER","Persons","0","Units",,,9497,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","1999","1999","PER","Persons","0","Units",,,9483,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,8904,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,8844,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,8571,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,9467,"B","Break"
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,9166,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,9362,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,8916,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,8826,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,8857,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,8336,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,7945,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,8223,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,7343,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,6939,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,6934,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,6678,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,6169,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,5812,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,5542,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2019","2019","PER","Persons","0","Units",,,5224,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2020","2020","PER","Persons","0","Units",,,4634,,
"FIN","Finland","T-ACCI-CAS","Road casualties (injured + killed)","2021","2021","PER","Persons","0","Units",,,4087,"P","Provisional value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","1995","1995","PER","Persons","0","Units",,,3507000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","1996","1996","PER","Persons","0","Units",,,3525000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","1997","1997","PER","Persons","0","Units",,,3390000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","1998","1998","PER","Persons","0","Units",,,3234000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","1999","1999","PER","Persons","0","Units",,,3278000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,3231000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,3075000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,2969000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,2932000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,2831000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,2742000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,2575000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,2532000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,2383000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,2251000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,2272000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,2249000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,2396000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,2346000,"E","Estimated value"
"USA","United States","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,2371000,"E","Estimated value"
