"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2004","2004","EUR","Euro","0","Units",,,77000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,80000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,104000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,94000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,102000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,111000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,184000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,156000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,145000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,147000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,206000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,457000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,528000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,396797000,"P","Provisional value"
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,216000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,213000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2020","2020","EUR","Euro","0","Units",,,155000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2021","2021","EUR","Euro","0","Units",,,498000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","BGN","Bulgarian Lev","0","Units",,,221000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","BGN","Bulgarian Lev","0","Units",,,433000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","BGN","Bulgarian Lev","0","Units",,,416000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","BGN","Bulgarian Lev","0","Units",,,152000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","BGN","Bulgarian Lev","0","Units",,,215000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","BGN","Bulgarian Lev","0","Units",,,155000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","BGN","Bulgarian Lev","0","Units",,,218000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","BGN","Bulgarian Lev","0","Units",,,203000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","BGN","Bulgarian Lev","0","Units",,,196000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","BGN","Bulgarian Lev","0","Units",,,270000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","BGN","Bulgarian Lev","0","Units",,,342000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","BGN","Bulgarian Lev","0","Units",,,321000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","BGN","Bulgarian Lev","0","Units",,,502000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","BGN","Bulgarian Lev","0","Units",,,416000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2020","2020","BGN","Bulgarian Lev","0","Units",,,741000000,,
"BGR","Bulgaria","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2021","2021","BGN","Bulgarian Lev","0","Units",,,298000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1995","1995","CAD","Canadian Dollar","0","Units",,,5910000000,"E","Estimated value"
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1996","1996","CAD","Canadian Dollar","0","Units",,,5893000000,,
"CAN","Canada","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1997","1997","CAD","Canadian Dollar","0","Units",,,6466000000,,
