"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,11066059.39,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,38522824.59,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","MXN","Mexican Peso","0","Units",,,5542900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","MXN","Mexican Peso","0","Units",,,6613900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","MXN","Mexican Peso","0","Units",,,11351900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","MXN","Mexican Peso","0","Units",,,8427000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","MXN","Mexican Peso","0","Units",,,11082700000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","MXN","Mexican Peso","0","Units",,,11398200000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","MXN","Mexican Peso","0","Units",,,9802000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","MXN","Mexican Peso","0","Units",,,13319600000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","MXN","Mexican Peso","0","Units",,,20829700000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","MXN","Mexican Peso","0","Units",,,28285900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","MXN","Mexican Peso","0","Units",,,38699900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","MXN","Mexican Peso","0","Units",,,34879700000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","MXN","Mexican Peso","0","Units",,,32384000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","MXN","Mexican Peso","0","Units",,,41504900000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","MXN","Mexican Peso","0","Units",,,56717500000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","MXN","Mexican Peso","0","Units",,,65900100000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","MXN","Mexican Peso","0","Units",,,67661300000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","MXN","Mexican Peso","0","Units",,,67459200000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","MXN","Mexican Peso","0","Units",,,70871300000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","MXN","Mexican Peso","0","Units",,,86124100000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","MXN","Mexican Peso","0","Units",,,75532000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","MXN","Mexican Peso","0","Units",,,69831000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","MXN","Mexican Peso","0","Units",,,46114200000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","MXN","Mexican Peso","0","Units",,,52346600000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","MXN","Mexican Peso","0","Units",,,49102400000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","MXN","Mexican Peso","0","Units",,,37527000000,,
"MEX","Mexico","I-INV-RD","Road infrastructure investment","NAT","National currency","2021","2021","MXN","Mexican Peso","0","Units",,,39094700000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","MDL","Moldovan Leu","0","Units",,,61000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","MDL","Moldovan Leu","0","Units",,,72000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","MDL","Moldovan Leu","0","Units",,,46000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","MDL","Moldovan Leu","0","Units",,,28000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","MDL","Moldovan Leu","0","Units",,,22000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","MDL","Moldovan Leu","0","Units",,,12000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","MDL","Moldovan Leu","0","Units",,,29000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","MDL","Moldovan Leu","0","Units",,,28000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","MDL","Moldovan Leu","0","Units",,,61000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","MDL","Moldovan Leu","0","Units",,,38000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","MDL","Moldovan Leu","0","Units",,,107000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","MDL","Moldovan Leu","0","Units",,,460000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","MDL","Moldovan Leu","0","Units",,,397000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","MDL","Moldovan Leu","0","Units",,,208000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","MDL","Moldovan Leu","0","Units",,,226000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","MDL","Moldovan Leu","0","Units",,,133000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","MDL","Moldovan Leu","0","Units",,,626000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","MDL","Moldovan Leu","0","Units",,,605000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","MDL","Moldovan Leu","0","Units",,,724000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","MDL","Moldovan Leu","0","Units",,,1066000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","MDL","Moldovan Leu","0","Units",,,800000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","MDL","Moldovan Leu","0","Units",,,652000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","MDL","Moldovan Leu","0","Units",,,668000000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","MDL","Moldovan Leu","0","Units",,,1128500000,,
"MDA","Moldova","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","MDL","Moldovan Leu","0","Units",,,1631000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,6238.22195966,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,14470.18637781,,
