Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
"Montenegro, Republic of",Euro,,"764,381",,"274,052",,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
Netherlands,Euro,,"1,727,000,000",,"1,847,000,000",,"2,279,000,000",,"2,328,000,000",,"2,334,000,000",,"1,636,000,000",,"1,654,000,000",,"1,680,000,000",,"2,194,000,000",,"2,363,000,000",,"2,300,000,000",,"2,287,000,000",,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
New Zealand,Euro,,"209,795,376",,"172,060,692",,"180,676,179",,"198,218,535",,"266,970,999",,"345,287,393",,"392,897,849",,"483,214,983",,"503,310,077",,"553,842,627",,"765,857,843",,"918,972,369",,"654,512,925",,"799,041,857",,"911,765,384",,"1,034,296,127",,"1,005,213,679",,"943,127,166",,"1,057,955,558",,"1,041,148,618",,"1,376,584,295",,"1,012,534,980"
North Macedonia,Euro,,"68,304,833",,"61,271,338",,"71,946,453",,"107,129,941",,"59,825,706",,"65,103,417",,"59,881,595",,"75,980,119",,"90,922,390",,"103,836,055",,"83,588,706",,"103,886,505",,"70,486,162",,"87,527,008",,"174,274,592",,"166,327,103",,"228,634,923",,"195,062,696",,"148,267,408",,"232,269,605",,"164,719,471",,"191,633,002"
Norway,Euro,,"908,709,960",,"1,018,896,992",,"1,163,899,282",,"1,073,567,098",,"1,138,451,248",,"1,461,268,704",,"1,474,839,367",,"1,734,532,257",,"2,136,830,075",,"2,488,314,545",,"2,673,994,504",,"2,811,645,901",,"3,301,050,097",,"3,844,281,303",,"3,804,023,890",,"3,559,166,601",,"3,383,300,871",,"3,717,706,837",,"4,060,996,188",,"4,051,595,480",,"3,272,508,578",,..
Poland,Euro,(B),"1,019,511,952",,"1,093,924,457",,"1,035,941,352",,"1,010,617,739",,"1,235,382,375",,"1,874,906,777",,"2,605,324,639",,"3,444,000,952",,"4,504,566,015",,"5,337,659,938",,"6,509,637,046",,"8,323,257,338",,"4,382,811,940",,"2,464,797,122",,"1,721,113,634",,"2,170,794,683",,"3,075,442,295",,"3,209,595,188",,"2,668,638,220",,"2,415,357,766",,"3,207,598,127",,"3,169,807,187"
Portugal,Euro,,"961,000,000",,"1,685,000,000",,"1,620,000,000",,"1,537,000,000",,"1,933,000,000",,"2,112,000,000",,"1,940,000,000",,"1,453,000,000",,"1,366,000,000",(B),"951,000,000",,"1,511,000,000",,..,,"274,000,000",,"211,000,000",,..,,..,,..,,..,,..,,..,,..,,..
Romania,Euro,,"630,549,285",,"735,486,351",,"634,280,594",,"707,380,084",,"1,094,879,704",,"1,330,885,601",,"1,950,686,642",,"2,803,858,714",,"3,889,793,702",,"3,105,245,778",,"2,851,137,605",,"3,283,631,388",,"3,092,797,380",,"2,728,712,692",,"2,492,631,011",,"2,870,287,051",,"2,366,794,335",,"2,133,648,521",,"2,181,564,246",,..,,..,,..
Russian Federation,Euro,,"2,571,606,026",,"2,344,748,509",,"2,071,355,312",,"2,113,111,081",,"3,180,720,604",(B),"3,786,278,176",,"4,873,784,074",,"7,296,824,105",,"9,880,380,173",,"6,240,104,769",,"6,201,084,487",,"8,421,851,970",,"9,281,187,834",,"9,836,121,429",,"8,283,687,132",,"6,117,207,705",,"7,597,091,434",,"8,200,559,986",,"7,298,221,094",,"6,710,809,666",,"6,953,092,859",,..
"Serbia, Republic of",Euro,(B),"56,596,924",,"81,418,391",,"139,066,475",,"168,672,959",,"184,741,402",,"174,052,123",,"351,316,099",,"406,070,427",,"378,948,997",,"251,359,245",,"228,848,120",,"338,852,896",,"256,622,260",,"279,291,915",,"336,982,024",,"505,058,875",,"493,838,193",,"506,622,631",,"442,540,366",,"584,390,123",,"430,536,465",(P),"853,430,246"
