,country,iso_alpha,year,pg_GDP,flag
410,Norway,NOR,2020,89.3,e
411,Switzerland,CHE,2020,86,e
412,United Kingdom,GBR,2020,0,
413,Montenegro,MNE,2020,99.9,e
414,North Macedonia,MKD,2020,103.8,
415,Albania,ALB,2020,0,
416,Serbia,SRB,2020,80.5,e
417,Turkey,TUR,2020,85,
418,EU,,2021,80.2,e
419,Belgium,BEL,2021,79.9,ep
420,Bulgaria,BGR,2021,72.3,e
421,Czech Republic,CZE,2021,99.2,
422,Denmark,DNK,2021,85.9,e
423,Germany,DEU,2021,76.1,p
424,Estonia,EST,2021,77.7,e
425,Ireland,IRL,2021,65.7,e
426,Greece,GRC,2021,90.3,ep
427,Spain,ESP,2021,79.7,ep
428,France,FRA,2021,85.8,p
429,Croatia,HRV,2021,72.1,p
430,Italy,ITA,2021,74.1,
431,Cyprus,CYP,2021,76.3,e
432,Latvia,LVA,2021,78.7,
433,Lithuania,LTU,2021,94.9,e
434,Luxembourg,LUX,2021,86.3,e
435,Hungary,HUN,2021,89.8,e
436,Malta,MLT,2021,72.9,e
437,Netherlands,NLD,2021,72.4,ep
438,Austria,AUT,2021,80,e
439,Poland,POL,2021,83.3,e
440,Portugal,PRT,2021,97.9,ep
441,Romania,ROU,2021,91.2,ep
442,Slovenia,SVN,2021,77.5,e
443,Slovakia,SVK,2021,77.3,e
444,Finland,FIN,2021,85,
445,Sweden,SWE,2021,70,e
446,Iceland,ISL,2021,109.6,e
447,Liechtenstein,LIE,2021,0,
448,Norway,NOR,2021,89.3,e
449,Switzerland,CHE,2021,86.7,e
450,United Kingdom,GBR,2021,0,
451,Montenegro,MNE,2021,97.9,e
452,North Macedonia,MKD,2021,110.3,p
453,Albania,ALB,2021,0,
454,Serbia,SRB,2021,81.8,e
455,Turkey,TUR,2021,82.8,e
